기온분석,,,
[검색조건],,,
날짜,평균기온(℃),최저기온(℃),최고기온(℃)
2020.1.1,-2.2,-6.5,0.3
2020.1.2,1,-0.7,3.8
2020.1.3,-0.1,-3.4,4.6
2020.1.4,1.2,-2.8,6.1
2020.1.5,1.3,-3.2,6.6
2020.1.6,3.1,0.6,4.6
2020.1.7,6.3,4.2,7.7
2020.1.8,2.4,-0.4,8.9
2020.1.9,-1.2,-3.1,2
2020.1.10,-0.6,-4.3,4.2
2020.1.11,-0.1,-2.6,3.9
2020.1.12,-1,-3.5,2.8
2020.1.13,-2.9,-4.7,0.2
2020.1.14,-2.3,-5.7,2.6
2020.1.15,-2.7,-6.4,2.2
2020.1.16,-1.7,-5.5,3.2
2020.1.17,-0.6,-4.8,4.9
2020.1.18,0.3,-4.1,5.9
2020.1.19,1.9,-0.4,5.3
2020.1.20,0.7,-3.3,5.5
2020.1.21,-0.4,-5.6,5.5
2020.1.22,3,-0.1,7.8
2020.1.23,4.6,0,9.9
2020.1.24,2.8,-1.3,7.4
2020.1.25,4.3,0.6,8.8
2020.1.26,5.5,-0.2,11.9
2020.1.27,5.9,4.8,7.5
2020.1.28,6.8,4.3,9.9
2020.1.29,6,3.2,9.6
2020.1.30,5.2,1.4,10.4
2020.1.31,3.9,1.4,8.9
2020.2.1,2.6,-1.2,7.6
2020.2.2,1.5,-2.1,5.3
2020.2.3,-0.4,-2.9,3
2020.2.4,-1.6,-6,3.9
2020.2.5,-8.3,-11,-4.9
2020.2.6,-6.4,-11.8,0.4
2020.2.7,-1.7,-7.2,2.2
2020.2.8,-0.1,-2.3,3.7
2020.2.9,-0.5,-5.6,4.1
2020.2.10,4,-0.7,9.6
2020.2.11,6.8,-0.5,14.6
2020.2.12,7.4,6.5,8.2
2020.2.13,6.5,4.9,8.7
2020.2.14,8.1,3.2,14.7
2020.2.15,9.8,6.2,15.6
2020.2.16,-1.4,-4.3,7.7
2020.2.17,-5.9,-7.1,-3.9
2020.2.18,-4.1,-8.3,1.3
2020.2.19,1,-4.4,6.4
2020.2.20,4.6,-0.6,10.8
2020.2.21,6.7,2.1,10.9
2020.2.22,4,0,7.9
2020.2.23,2.5,-2.5,8
2020.2.24,7,0.8,12.2
2020.2.25,6.7,4.7,9.4
2020.2.26,6.4,2.8,10.4
2020.2.27,6.1,1.3,12.5
2020.2.28,4.5,3.6,5.9
2020.2.29,7.7,4.5,13
2020.3.1,5.8,3.2,10.1
2020.3.2,3.4,0,7.6
2020.3.3,4.8,0.3,10.5
2020.3.4,2.2,-1.3,4.6
2020.3.5,1.4,-2.8,6.3
2020.3.6,3.7,-2.5,10.1
2020.3.7,7,1.3,14.2
2020.3.8,9.3,2.3,16.9
2020.3.9,11.1,4.8,17.6
2020.3.10,6.4,3.2,10.8
2020.3.11,3.8,0,8.3
2020.3.12,6.8,0.2,13.3
2020.3.13,4.9,-0.1,8.7
2020.3.14,3.6,-2.7,8.6
2020.3.15,4,0.2,8.5
2020.3.16,3.6,-2.1,9.1
2020.3.17,6.6,3.1,12.3
2020.3.18,10,2.7,17
2020.3.19,9.1,5.8,12.1
2020.3.20,8.8,3.1,14
2020.3.21,12.8,7.9,19.5
2020.3.22,11,6.1,16.5
2020.3.23,10.6,5.4,17
2020.3.24,11.4,5.3,17.9
2020.3.25,12.5,6.1,19.2
2020.3.26,14.8,8.1,20.6
2020.3.27,11.9,6.7,15.8
2020.3.28,7.7,4.5,12.8
2020.3.29,8.7,1.3,16.1
2020.3.30,10.2,4.3,16.9
2020.3.31,11.9,4.7,18.6
2020.4.1,11.3,6,17.4
2020.4.2,9.3,3.4,15.5
2020.4.3,10,5.3,16.3
2020.4.4,8.9,5,13.3
2020.4.5,7.2,1.9,13.7
2020.4.6,9.3,2.9,16.1
2020.4.7,10.6,6,16.8
2020.4.8,9.4,5.2,14.2
2020.4.9,8.9,4.3,14.7
2020.4.10,10.7,5.8,16.8
2020.4.11,9.9,6.2,16
2020.4.12,9.9,4.4,15.6
2020.4.13,12.4,4.3,20.4
2020.4.14,13,7.6,19.6
2020.4.15,13.2,7.2,20.2
2020.4.16,16,8.9,23.8
2020.4.17,12.5,10.4,15.4
2020.4.18,13.5,8.5,19.6
2020.4.19,12.3,9.5,15.5
2020.4.20,10,7.6,13.1
2020.4.21,7.4,4.8,10.4
2020.4.22,6,4.1,8.3
2020.4.23,7.9,2.9,12.8
2020.4.24,9.9,4.1,14.3
2020.4.25,13.1,9.9,17.1
2020.4.26,12.3,6.8,19
2020.4.27,12.9,8.7,18.3
2020.4.28,13.9,7.8,19.9
2020.4.29,14.9,9.3,21
2020.4.30,17.1,9.3,23.4
2020.5.1,20.2,16.4,26.2
2020.5.2,20.3,18,23.9
2020.5.3,21.8,17,27.4
2020.5.4,20.2,14.8,25.3
2020.5.5,16,13.1,19.3
2020.5.6,19.4,11.1,27.6
2020.5.7,20.7,14.9,26.5
2020.5.8,19.9,14.3,27.3
2020.5.9,14.2,12.7,16.8
2020.5.10,14.4,12.8,16.6
2020.5.11,16.5,12.4,22
2020.5.12,14.3,10.5,18.9
2020.5.13,16.1,10.2,21.8
2020.5.14,19.3,12.4,25.4
2020.5.15,16.1,14.1,20.2
2020.5.16,16.7,15,20.3
2020.5.17,19.1,14.6,24.9
2020.5.18,19.1,13.2,26.8
2020.5.19,13,10.1,17.1
2020.5.20,14.4,9.2,20.1
2020.5.21,17.4,10.9,22.9
2020.5.22,18.5,14.8,22.7
2020.5.23,20.1,16.6,25
2020.5.24,17.1,14.3,20.2
2020.5.25,16.6,13.7,21.3
2020.5.26,16.2,12.7,22.9
